Date_diff,Nbr_items_per_wk,Expenditure_per_wk,Total_Exp_wk_perc,AVG_exp_item_per_wk,Bread_wk,Cooked_meats_wk,Raw_meats_wk,Eating_out_wk,Snacks_wk,Drinks_wk,Vegetables_wk,Fruit_wk,Cooking_base_wk,Dairy_produce_wk,Breakfast_wk,Transport_wk,Tech_and_services_wk,Cosmetics_and_selfcare_wk,House_and_kitchen_wk,Trips_response_lt_5,prediction_label,prediction_prob
0.0,3,17.16,0.1917249417249417,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.9994487583244999
3.0,31,33.16,0.3094089264173703,1.0696774193548386,3,2,3,0,1,2,11,1,0,2,0,0,0,1,2,0,1.0,0.8105712625805249
2.0,20,22.69,0.4843543411194358,1.1345,4,0,2,0,1,2,3,1,0,0,0,0,0,5,0,0,0.0,0.006825790412431604
0.0,63,175.43,0.3745083509091945,2.7846031746031747,2,2,5,0,6,14,15,1,0,0,0,0,0,3,1,0,0.0,0.0003160290466821668
2.0,31,29.12,0.1541895604395604,0.9393548387096772,1,1,2,1,8,3,10,0,0,1,0,0,0,1,1,0,0.0,0.03050817358341129
0.0,15,20.47,0.5114802149487054,1.3646666666666667,1,1,2,0,0,0,9,0,1,1,0,0,0,0,0,1,1.0,0.9998150328734734
2.0,26,85.36,0.1928303655107779,3.2830769230769232,3,2,2,0,2,1,7,1,1,3,0,0,0,0,0,0,0.0,0.1070338253758799
2.0,31,25.28,0.4185126582278481,0.815483870967742,4,0,2,0,0,3,13,1,0,1,0,0,0,1,0,1,1.0,0.9985515200218217
0.0,47,73.75,0.0134237288135593,1.569148936170213,3,1,4,0,6,2,21,0,4,2,0,0,1,2,0,0,0.0,0.002664407950828215
0.0,51,55.54,0.0482535109830752,1.0890196078431371,0,2,7,0,7,4,12,0,0,3,0,0,0,1,0,0,0.0,0.02718735163299754
3.0,19,37.56,0.2673056443024493,1.976842105263158,0,0,3,0,2,0,5,0,0,0,3,1,0,1,2,0,0.0,0.006124295680342918
0.0,56,209.58,0.0641759709895982,3.7425,1,1,2,0,6,1,8,0,0,0,0,22,0,0,0,0,0.0,0.0014194320006300511
2.0,20,92.82,0.2153630683042447,4.641,1,1,1,0,4,3,1,4,0,1,0,0,1,0,2,0,0.0,0.01251439061333883
0.0,41,74.71000000000001,0.0080310534065051,1.82219512195122,2,2,4,0,5,1,11,2,1,2,3,1,0,0,0,0,0.0,0.0023959938830579665
2.0,32,104.49,0.0955115322040386,3.2653125,2,14,1,2,2,2,0,4,0,4,0,0,0,0,0,0,0.0,0.0019875355149939693
1.0,19,37.56,0.3229499467518636,1.976842105263158,0,0,3,0,2,0,5,0,0,0,3,1,0,1,2,0,0.0,0.005857541093465693
3.0,29,33.03,0.3024523160762942,1.1389655172413793,2,2,3,0,4,1,8,1,0,4,0,0,0,0,0,1,1.0,0.9997353719613472
2.0,22,154.93,0.4259342929064738,7.042272727272728,0,1,2,0,6,3,3,0,0,1,0,0,0,0,1,0,0.0,0.005036791005119996
1.0,23,57.37,0.2769740282377549,2.4943478260869565,0,0,2,0,0,1,12,0,0,0,0,19,0,3,0,0,0.0,0.0044290523970898716
0.0,53,55.21,0.1802209744611483,1.0416981132075471,2,4,2,0,11,12,11,1,1,3,0,0,0,0,0,0,0.0,0.04871262560996793
4.0,32,36.35,0.1155433287482806,1.1359375,1,1,3,0,9,2,7,1,0,0,3,0,0,1,0,0,0.0,0.10697932452292341
1.0,43,267.74,0.0061626951520131,6.2265116279069765,2,2,3,0,6,1,8,1,1,1,1,0,1,3,0,0,0.0,0.004648750034738419
1.0,31,33.16,0.1685765983112183,1.0696774193548386,3,2,3,0,1,2,11,1,0,2,0,0,0,1,2,0,1.0,0.7032958500167592
1.0,31,2683.7200000000003,0.0037261711355879,86.57161290322581,1,2,1,0,6,4,2,1,0,1,0,0,2,4,0,0,0.0,0.0013167608337914356
