Total_Price,Nbr_trips_per_wk,Total_Exp_wk_perc,Raw_meats_wk,Vegetables_wk,Cooking_base_wk,Breakfast_wk,Transport_wk,Electronics_wk,Education_wk,Cosmetics_and_selfcare_wk,Clothes_and_shoes_wk,Expenditure_per_wk,prediction
10.0,10,0.1440092165898617,1,6,0,0,0,0,0,1,0,69.44,69.38166057541059
8.27,3,0.2269484083424807,3,9,0,0,0,0,1,0,0,36.44,36.439999667114776
1.6,1,1.0,0,0,0,0,0,0,0,0,0,1.6,1.5999992438222819
6.84,11,0.1069920225246363,7,6,1,0,0,0,0,3,0,63.93,63.855861239487325
4.93,9,0.0847515901667526,0,1,0,1,0,0,0,1,0,58.17,58.170014927280405
10.0,6,0.1987676406281057,4,13,1,0,0,0,0,4,0,50.31,50.31006119810516
7.68,3,0.2630136986301369,3,9,0,0,0,0,1,3,0,29.2,29.199998499884742
16.05,8,0.0059805046726186,1,2,0,0,0,0,0,4,5,2683.7200000000003,2683.720000031289
6.6,7,0.1201747997086671,3,11,0,0,0,0,0,3,0,54.92,54.92000044962931
32.99,1,1.0,0,0,0,0,0,0,0,0,0,32.99,32.99000047448405
5.89,6,0.2150419861263234,4,5,0,0,0,0,0,2,0,27.39,27.789137947736393
53.99,6,0.3880264481816874,2,6,1,2,0,0,1,0,0,139.14,134.98975548957822
8.75,18,0.0699944004479641,3,1,0,0,2,0,0,8,0,125.01,125.0099958968297
1.29,4,0.0410566518141311,4,4,1,0,0,0,0,2,0,31.42,32.36621731932827
1.77,6,0.0189001601708489,4,2,0,0,0,0,3,4,0,93.65,93.65000237072506
7.19,5,0.3557644730331519,2,0,0,2,0,0,0,0,0,20.21,20.20999859560996
48.99,3,0.664271186440678,1,8,0,1,0,0,0,1,0,73.75,73.7499999688705
2.36,6,0.0469091631882329,4,13,1,0,0,0,0,4,0,50.31,49.79986105655297
12.59,4,0.1778751059621361,8,9,0,2,0,0,0,0,0,70.78,66.31674608843949
16.53,5,0.590990346800143,2,9,0,5,1,0,0,0,0,27.97,27.970001360289174
12.13,5,0.3229499467518636,3,5,0,3,1,0,0,1,1,37.56,37.559997971435735
6.26,8,0.1127115592365862,7,12,0,0,0,0,0,1,0,55.54,55.54000260661629
35.48,4,0.4533605928954766,2,7,1,5,0,0,0,1,0,78.25999999999999,78.26000225860213
6.48,5,0.195416164053076,3,11,0,0,0,0,0,1,0,33.16,33.16008895213167
1.2,6,0.0368324125230202,1,1,0,0,0,0,0,0,0,32.58,30.68133940948755
14.1,4,0.3395953757225434,2,7,0,0,0,0,0,1,0,41.52,42.87107705127241
2.5,11,0.0594813228646205,0,0,0,0,0,0,0,0,1,42.03,42.03000286567442
10.0,9,0.0570027931368637,5,15,0,0,0,6,0,3,0,175.43,175.4299997667482
10.99,4,0.120782503571821,2,1,0,0,0,0,0,0,0,90.99,90.98997698602025
19.99,11,0.1304915464455904,4,14,0,4,0,0,7,1,0,153.19,153.1501270983699
32.99,6,0.5627772091436369,4,2,4,0,0,0,0,2,0,58.620000000000005,61.7541878550417
15.99,4,0.299438202247191,2,8,0,4,0,0,1,0,0,53.4,52.672958531278326
