iter	Passed	Remaining
0	0	4435
1	0	4189
2	1	4158
3	1	3985
4	1	3896
5	2	3806
6	2	3723
7	2	3673
8	3	3647
9	3	3620
10	3	3590
11	4	3607
12	4	3677
13	5	3724
14	5	3729
15	5	3700
16	6	3689
17	6	3672
18	6	3653
19	7	3650
20	7	3631
21	7	3608
22	8	3605
23	8	3601
24	8	3590
25	9	3575
26	9	3573
27	10	3566
28	10	3562
29	10	3576
30	11	3616
31	11	3622
32	12	3650
33	12	3646
34	12	3641
35	13	3640
36	13	3639
37	13	3636
38	14	3637
39	14	3635
40	14	3633
41	15	3626
42	15	3618
43	15	3617
44	16	3619
45	16	3622
46	17	3623
47	17	3652
48	18	3684
49	18	3728
50	19	3723
51	19	3720
52	19	3715
53	20	3709
54	20	3705
55	20	3706
56	21	3704
57	21	3704
58	21	3703
59	22	3697
60	22	3694
61	23	3690
62	23	3687
63	23	3717
64	24	3737
65	24	3755
66	25	3762
67	25	3763
68	26	3762
69	26	3759
70	26	3756
71	27	3757
72	27	3756
73	27	3755
74	28	3754
75	28	3752
76	29	3750
77	29	3753
78	29	3753
79	30	3748
80	30	3755
81	31	3782
82	31	3797
83	32	3792
84	32	3796
85	32	3795
86	33	3792
87	33	3790
88	34	3793
89	34	3791
90	34	3788
91	35	3786
92	35	3786
93	35	3786
94	36	3788
95	36	3789
96	37	3797
97	37	3807
98	38	3832
99	38	3832
100	39	3835
101	39	3833
102	39	3833
103	40	3831
104	40	3830
105	41	3830
106	41	3827
107	41	3825
108	42	3827
109	42	3826
110	42	3826
111	43	3824
112	43	3823
113	44	3840
114	44	3848
115	45	3851
116	45	3849
117	45	3850
118	46	3849
119	46	3847
120	47	3846
121	47	3844
122	47	3844
123	48	3841
124	48	3841
125	49	3841
126	49	3839
127	49	3838
128	50	3859
129	51	3882
130	51	3887
131	51	3887
132	52	3885
133	52	3882
134	53	3882
135	53	3880
136	53	3879
137	54	3878
138	54	3875
139	55	3875
140	55	3875
141	55	3874
142	56	3874
143	56	3872
144	57	3876
145	57	3887
146	58	3896
147	58	3895
148	58	3894
149	59	3894
150	59	3893
151	60	3892
152	60	3889
153	60	3887
154	61	3885
155	61	3884
156	61	3885
157	62	3885
158	62	3890
159	63	3893
160	63	3899
161	64	3906
162	64	3911
163	65	3910
164	65	3911
165	66	3912
166	66	3911
167	66	3910
168	67	3909
169	67	3907
170	67	3908
171	68	3907
172	68	3908
173	69	3907
174	69	3907
175	70	3921
176	70	3925
177	71	3934
178	71	3934
179	72	3933
180	72	3933
181	72	3932
182	73	3931
183	73	3930
184	74	3930
185	74	3930
186	74	3929
187	75	3930
188	75	3930
189	76	3929
190	76	3930
191	77	3941
192	77	3951
193	78	3949
194	78	3948
195	78	3947
196	79	3946
197	79	3944
198	80	3944
199	80	3944
200	80	3944
201	81	3944
202	81	3943
203	82	3945
204	82	3944
205	83	3954
206	83	3972
207	84	3978
208	84	3978
209	85	3978
210	85	3980
211	86	3980
212	86	3978
213	86	3977
214	87	3976
215	87	3975
216	88	3974
217	88	3972
218	88	3973
219	89	3972
220	89	3973
221	90	3987
222	91	3995
223	91	3993
224	91	3993
225	92	3993
226	92	3993
227	93	3994
228	93	3995
